"cdabr","vap","pvap","n"
"61018","406","2,06","12"
"61018","4697","23,89","13"
"61018","9","0,05","14"
"61018","810","4,12","15"
"61018","2","0,01","16"
"61018","3","0,02","80"
"61018","13529","68,80","22"
"61018","0","00,00","27"
"61018","81","0,41","30"
"61018","113","0,57","44"
"61018","13","0,07","21"
"61158","36","1,18","12"
"61158","1159","37,94","13"
"61158","2","0,07","14"
"61158","96","3,14","15"
"61158","0","00,00","16"
"61158","0","00,00","80"
"61158","1752","57,35","22"
"61158","0","00,00","27"
"61158","4","0,13","30"
"61158","6","0,20","44"
"61158","0","00,00","21"
"61212","39","1,45","12"
"61212","800","29,75","13"
"61212","2","0,07","14"
"61212","122","4,54","15"
"61212","0","00,00","16"
"61212","0","00,00","80"
"61212","1719","63,93","22"
"61212","0","00,00","27"
"61212","1","0,04","30"
"61212","6","0,22","44"
"61212","0","00,00","21"
"61417","595","1,81","12"
"61417","11518","35,00","13"
"61417","20","0,06","14"
"61417","1727","5,25","15"
"61417","3","0,01","16"
"61417","11","0,03","80"
"61417","18800","57,13","22"
"61417","8","0,02","27"
"61417","128","0,39","30"
"61417","87","0,26","44"
"61417","13","0,04","21"
"61476","44","1,72","12"
"61476","1019","39,76","13"
"61476","5","0,20","14"
"61476","79","3,08","15"
"61476","0","00,00","16"
"61476","0","00,00","80"
"61476","1400","54,62","22"
"61476","0","00,00","27"
"61476","5","0,20","30"
"61476","10","0,39","44"
"61476","1","0,04","21"
"61557","2501","2,19","12"
"61557","32370","28,39","13"
"61557","61","0,05","14"
"61557","6169","5,41","15"
"61557","14","0,01","16"
"61557","33","0,03","80"
"61557","71740","62,92","22"
"61557","11","0,01","27"
"61557","597","0,52","30"
"61557","484","0,42","44"
"61557","43","0,04","21"
"61794","1445","2,71","12"
"61794","18650","34,93","13"
"61794","22","0,04","14"
"61794","2570","4,81","15"
"61794","11","0,02","16"
"61794","23","0,04","80"
"61794","30077","56,33","22"
"61794","8","0,01","27"
"61794","271","0,51","30"
"61794","279","0,52","44"
"61794","37","0,07","21"
"61875","107","1,87","12"
"61875","2760","48,11","13"
"61875","3","0,05","14"
"61875","189","3,29","15"
"61875","2","0,03","16"
"61875","0","00,00","80"
"61875","2649","46,17","22"
"61875","0","00,00","27"
"61875","12","0,21","30"
"61875","14","0,24","44"
"61875","1","0,02","21"
"61999","49","1,28","12"
"61999","1619","42,13","13"
"61999","0","00,00","14"
"61999","174","4,53","15"
"61999","0","00,00","16"
"61999","1","0,03","80"
"61999","1980","51,52","22"
"61999","0","00,00","27"
"61999","8","0,21","30"
"61999","11","0,29","44"
"61999","1","0,03","21"
"62235","21","1,29","12"
"62235","641","39,28","13"
"62235","0","00,00","14"
"62235","63","3,86","15"
"62235","0","00,00","16"
"62235","1","0,06","80"
"62235","898","55,02","22"
"62235","0","00,00","27"
"62235","4","0,25","30"
"62235","4","0,25","44"
"62235","0","00,00","21"
"62278","60","1,26","12"
"62278","1388","29,11","13"
"62278","4","0,08","14"
"62278","155","3,25","15"
"62278","1","0,02","16"
"62278","0","00,00","80"
"62278","3123","65,50","22"
"62278","0","00,00","27"
"62278","16","0,34","30"
"62278","19","0,40","44"
"62278","2","0,04","21"
"62294","1286","1,97","12"
"62294","16638","25,52","13"
"62294","33","0,05","14"
"62294","2558","3,92","15"
"62294","11","0,02","16"
"62294","15","0,02","80"
"62294","44050","67,57","22"
"62294","7","0,01","27"
"62294","262","0,40","30"
"62294","314","0,48","44"
"62294","20","0,03","21"
"62430","10","1,24","12"
"62430","319","39,43","13"
"62430","0","00,00","14"
"62430","32","3,96","15"
"62430","0","00,00","16"
"62430","0","00,00","80"
"62430","444","54,88","22"
"62430","0","00,00","27"
"62430","0","00,00","30"
"62430","4","0,49","44"
"62430","0","00,00","21"
"62553","22","0,66","12"
"62553","1006","30,38","13"
"62553","1","0,03","14"
"62553","104","3,14","15"
"62553","0","00,00","16"
"62553","0","00,00","80"
"62553","2165","65,39","22"
"62553","0","00,00","27"
"62553","2","0,06","30"
"62553","10","0,30","44"
"62553","1","0,03","21"
"62081","28","1,46","12"
"62081","1034","53,77","13"
"62081","1","0,05","14"
"62081","39","2,03","15"
"62081","0","00,00","16"
"62081","1","0,05","80"
"62081","817","42,49","22"
"62081","0","00,00","27"
"62081","0","00,00","30"
"62081","3","0,16","44"
"62081","0","00,00","21"
"62634","128","1,34","12"
"62634","3355","35,00","13"
"62634","4","0,04","14"
"62634","310","3,23","15"
"62634","1","0,01","16"
"62634","2","0,02","80"
"62634","5741","59,88","22"
"62634","0","00,00","27"
"62634","21","0,22","30"
"62634","21","0,22","44"
"62634","4","0,04","21"
"62790","35","1,31","12"
"62790","1251","46,78","13"
"62790","3","0,11","14"
"62790","139","5,20","15"
"62790","0","00,00","16"
"62790","0","00,00","80"
"62790","1227","45,89","22"
"62790","1","0,04","27"
"62790","7","0,26","30"
"62790","11","0,41","44"
"62790","0","00,00","21"
"62839","49","1,72","12"
"62839","1583","55,58","13"
"62839","2","0,07","14"
"62839","99","3,48","15"
"62839","0","00,00","16"
"62839","0","00,00","80"
"62839","1101","38,66","22"
"62839","2","0,07","27"
"62839","1","0,04","30"
"62839","11","0,39","44"
"62839","0","00,00","21"
"63215","181","1,57","12"
"63215","6147","53,42","13"
"63215","8","0,07","14"
"63215","567","4,93","15"
"63215","2","0,02","16"
"63215","1","0,01","80"
"63215","4554","39,58","22"
"63215","1","0,01","27"
"63215","23","0,20","30"
"63215","22","0,19","44"
"63215","0","00,00","21"
"63398","54","1,30","12"
"63398","1473","35,36","13"
"63398","2","0,05","14"
"63398","135","3,24","15"
"63398","0","00,00","16"
"63398","0","00,00","80"
"63398","2481","59,55","22"
"63398","0","00,00","27"
"63398","8","0,19","30"
"63398","13","0,31","44"
"63398","0","00,00","21"
"63517","2073","64,46","22"
"63517","985","30,63","13"
"63517","114","3,54","15"
"63517","33","1,03","12"
"63517","1","0,03","30"
"63517","10","0,31","44"
"63517","0","00,00","80"
"63517","0","00,00","14"
"63517","0","00,00","21"
"63517","0","00,00","16"
"63517","0","00,00","27"
"63673","917","57,42","22"
"63673","560","35,07","13"
"63673","86","5,39","15"
"63673","21","1,31","12"
"63673","5","0,31","30"
"63673","7","0,44","44"
"63673","0","00,00","80"
"63673","1","0,06","14"
